"Theta [deg]","dB(GainLHCP) [] - Freq='0.159GHz' Phi='0deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='5deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='10deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='15deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='20deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='25deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='30deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='35deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='40deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='45deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='50deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='55deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='60deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='65deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='70deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='75deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='80deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='85deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='90deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='95deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='100deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='105deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='110deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='115deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='120deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='125deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='130deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='135deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='140deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='145deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='150deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='155deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='160deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='165deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='170deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='175deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='180deg'"
100,-5.44038470083037,-6.57830354436852,-7.97314281342513,-9.62140768023793,-11.4905671170096,-13.5026033824244,-15.5318449226236,-17.4469027881239,-19.1894272324572,-20.7885858059716,-22.2283302017484,-23.2705164134902,-23.5837370485152,-23.2901724018227,-22.9789885467645,-23.2006238654828,-24.3553689394329,-26.6694186014833,-28.1042122667823,-24.2048515243909,-19.5372685791253,-15.8999468953735,-13.0510998899359,-10.7387548632166,-8.81409018032744,-7.19819499191189,-5.85415131242245,-4.76715597084489,-3.93105319349643,-3.34078162710905,-2.98985318156182,-2.87133012849537,-2.98032879857958,-3.3159737955221,-3.88132743020845,-4.68126119863556,-5.71980822618574
101,-5.41948024310106,-6.5644737726072,-7.9670513565009,-9.62281007362191,-11.4984584273209,-13.5153777687752,-15.5466557012743,-17.4570389092799,-19.1804403946968,-20.7376710911076,-22.1139582302426,-23.101131055183,-23.4183348814003,-23.1825251757173,-22.9295673612594,-23.1808762360744,-24.3235253084815,-26.5443015865676,-27.8381126930581,-24.0930045274152,-19.5171917768801,-15.907604330681,-13.0679076287979,-10.7586455434617,-8.83396396856759,-7.21543439544404,-5.86643256664443,-4.77283912068384,-3.92939151424828,-3.33178062433475,-2.9739292961942,-2.84901180879882,-2.95220351241086,-3.28295558052762,-3.84513187375271,-4.64482523757018,-5.68739628819997
102,-5.40143390443307,-6.55150183002835,-7.95949423045057,-9.62030032040658,-11.5003464574145,-13.5213071324444,-15.5562351933557,-17.4668259334747,-19.1789525913734,-20.7045461374785,-22.0306657064831,-22.9773370855904,-23.3060701819335,-23.1266852942876,-22.928089849369,-23.2048912551789,-24.3288775274023,-26.4397410426643,-27.5557841319141,-23.9548288912272,-19.4850567686817,-15.9103223114768,-13.0827732896286,-10.7782993079299,-8.85514143274274,-7.23560734741845,-5.88323826388218,-4.78439208371175,-3.93456721830547,-3.33018208032801,-2.96561945996844,-2.8342310119819,-2.93128174339153,-3.25652156013796,-3.81454161211471,-4.61257184399155,-5.65723913370611
103,-5.38545323004964,-6.53847713902247,-7.94941674357595,-9.61264354049484,-11.494757253902,-13.5185900086755,-15.5583859107444,-17.4737698581667,-19.1825176051481,-20.6871099695775,-21.9763809328417,-22.8962348601281,-23.243507733767,-23.1195869499939,-22.9716845128239,-23.2693865811402,-24.3669557854485,-26.3498727655584,-27.2579540301458,-23.7902666861198,-19.4386926290992,-15.905940953919,-13.0938524911237,-10.7961718108589,-8.87632224018129,-7.25761197807001,-5.90363226641614,-4.80101615175838,-3.9458905351707,-3.33537720130212,-2.96437140540197,-2.82647345958569,-2.91707389185704,-3.2361929543204,-3.78906363667657,-4.58394527256833,-5.62863720711809
104,-5.37079366326544,-6.52455725263967,-7.9358565242526,-9.59872064695583,-11.4803429972151,-13.5055238390075,-15.5509151025944,-17.4752212638303,-19.1883626633174,-20.6828002386131,-21.9485121636278,-22.8545357132147,-23.2269564372775,-23.1578421706489,-23.0570570912384,-23.3705404891173,-24.4326022960619,-26.2683675246458,-26.9455365668918,-23.6002261136037,-19.3764777157913,-15.8926378643534,-13.0995780541703,-10.8109660124905,-8.89641825571506,-7.2805159341671,-5.92680552361893,-4.8220042994396,-3.96273722224696,-3.3468044765893,-2.96966701243317,-2.82524847254945,-2.90910492778352,-3.22149894655886,-3.76821137382527,-4.5584033453718,-5.6009238097674
105,-5.3567686300174,-6.50898142274979,-7.91796214823011,-9.57755461532433,-11.4559202206285,-13.4805605118441,-15.5317066292922,-17.4684418266054,-19.1934141163064,-20.6885689542641,-21.9438982821282,-22.8484836047327,-23.2523613648117,-23.2376422526685,-23.1803985629886,-23.5039039187915,-24.5199365963737,-26.1886791437647,-26.619732168559,-23.3864890991029,-19.2974307898395,-15.8690168153832,-13.0987274468502,-10.8216814076481,-8.91458901650875,-7.30358177061205,-5.95209412483821,-4.84675406475592,-3.98455805531957,-3.36395720408902,-2.98102894262732,-2.83009545028325,-2.90692114509321,-3.21198394892372,-3.75151274710215,-4.53542705431931,-5.57347803988606
106,-5.34275873817966,-6.49108272065591,-7.89500952830973,-9.54833366832597,-11.4205047235415,-13.4423607500783,-15.4987987344233,-17.4506876143958,-19.1943458028415,-20.7008756675826,-21.9587627339816,-22.8737684576832,-23.3151845524083,-23.3546433513652,-23.3372802529201,-23.6643140741034,-24.6223647076204,-26.1043684574176,-26.2820952951379,-23.1515700966923,-19.2012668172383,-15.8341785845777,-13.0904761614484,-10.8276509829418,-8.93026735179605,-7.32628526551309,-5.97899269978425,-4.87477748713582,-4.01088641375493,-3.38638968791402,-2.99802627635017,-2.84058958798978,-2.91009637169948,-3.20721453080037,-3.73851805068576,-4.51452995536077,-5.545737159666
107,-5.32821989638031,-6.47029832969227,-7.86641537584794,-9.51043013914494,-11.3733409557034,-13.3898436020838,-15.4504630019724,-17.419307127777,-19.1876546459451,-20.7157069951913,-21.9886798288252,-22.9254393636082,-23.4102809683097,-23.5038436356331,-23.5225461531743,-23.8458264516311,-24.7326589464627,-26.0094854701775,-25.9345547255998,-22.8985432311428,-19.0884087886945,-15.7877654035296,-13.0744313044243,-10.828562281198,-8.94317287983312,-7.34832523500791,-6.00716228035291,-4.90570756143521,-4.0413436310339,-3.41372190126111,-3.02027901087429,-2.85634672024224,-2.91823753332416,-3.20678590613462,-3.72880750890684,-4.49526717257918,-5.51720806144883
108,-5.31269014165993,-6.44617764045462,-7.83174709969096,-9.46341388508128,-11.313923743534,-13.3222270380399,-15.3852783435324,-17.3718489443042,-19.1697652953336,-20.7286316732678,-22.0285654894461,-22.9978294264709,-23.5317798339895,-23.6794632745399,-23.7302174243761,-24.0416879921846,-24.8431341110863,-25.8989687893412,-25.5793823568158,-22.6308567105787,-18.9599526184652,-15.7299730476728,-13.0506414703971,-10.8244603506814,-8.95331210282327,-7.36962402709839,-6.03643205746698,-4.93930081757135,-4.07564184692532,-3.44564243368397,-3.04746128483788,-2.87702717520231,-2.93098945659768,-3.21032785381867,-3.72199837063893,-4.47724380368539,-5.48747749247103
109,-5.29579497146952,-6.41838782890436,-7.79072863588729,-9.40705937332475,-11.2420106163917,-13.2390559679272,-15.302193176929,-17.3061707922166,-19.1371615085991,-20.7348990095753,-22.0727070091651,-23.0845083980729,-23.6729866769099,-23.8748440273883,-23.9534300561693,-24.2443788093997,-24.9459362315455,-25.7690020541322,-25.2191169641239,-22.3521517939641,-18.8175886938889,-15.6615284639997,-13.0195815296777,-10.8157321617835,-8.96096502696233,-7.39031860517296,-6.06679486671544,-4.97543583767041,-4.11358419626347,-3.48190959075296,-3.07930321895172,-2.90233853401929,-2.94803879589308,-3.21750993512857,-3.71775137021412,-4.46012250281188,-5.45622070706512
